# Statistics for grouped trace points from trace_group_id 93
# column 1: node count
# column 2: average
# column 3: std. dev
# column 4: min()
# column 5: max()
# column 6: minDev (deviation from average value computed for each ts)
# column 7: maxDev (deviation from average value computed for each ts)
# column 8: count()


# Index 0: Results for GlobalizePositions_Cntl
8192 	3.43096e+06 	1.33977e+06 	2.92983e+06 	8.85139e+06 	-106306 	82617.1 	819200
16384	3.11e+06	0		0		0		0		0		0


# Index 6: Results for P3ME_AssignCharge_Control
512 	874417 	52677.1 	647473 	1.08377e+06 	-223294 	200975 	51200
1024 	473570 	35670.5 	324363 	609989 	-145968 	131030 	102400
2048 	260517 	24136.3 	143782 	360397 	-116965 	95768.3 	204800
4096 	159319 	17334 	71545 	236227 	-88358.5 	76577.9 	409600
8192 	98562.5 	12714.7 	33786 	158570 	-64076.2 	59440.8 	819200


# Index 7: Results for P3ME_BuildFragmentList
512 	202284 	339748 	980 	863811 	-64597.3 	70826 	51200
1024 	181220 	305398 	599 	840394 	-108218 	132036 	102400
2048 	125215 	210592 	604 	571222 	-104070 	87196.3 	204800
4096 	102894 	173257 	605 	504697 	-102606 	107213 	409600
8192 	63883.2 	107224 	594 	323536 	-52331.1 	78174.2 	819200


# Index 8: Results for P3ME_Convolve
512 	264273 	3046.55 	259896 	279234 	-8205.36 	12369.1 	51200
1024 	127277 	1665.24 	119278 	133799 	-8093.27 	5437.56 	102400
2048 	54172.6 	92.9335 	53873 	55420 	-402.786 	1105.21 	204800
4096 	31886.4 	510.794 	29907 	34456 	-1960.32 	2586.52 	409600
8192 	15435.5 	201.012 	14730 	16975 	-716.736 	1537.11 	819200


# Index 9: Results for P3ME_ForwardFFT_Control
512 	1.6855e+06 	56115.1 	1.47997e+06 	1.93582e+06 	-220554 	237588 	51200
1024 	1.15185e+06 	52457.9 	1.00809e+06 	1.41112e+06 	-192580 	201727 	102400
2048 	697124 	38249.8 	578244 	902375 	-146056 	170247 	204800
4096 	800718 	41138.8 	647486 	1.00669e+06 	-148170 	155389 	409600
8192 	537056 	35640 	395857 	688850 	-189943 	106734 	819200


# Index 10: Results for P3ME_Interpolate_Control
512 	445977 	27526.8 	319792 	547303 	-125367 	101491 	51200
1024 	228148 	17846.1 	145284 	289322 	-82829.8 	60945.7 	102400
2048 	114439 	11484.9 	57771 	163615 	-56697.6 	49215.3 	204800
4096 	70232.6 	8357.89 	26204 	105628 	-44066.2 	35409.5 	409600
8192 	41430.5 	6204.76 	10096 	69673 	-31310.5 	28225.9 	819200


# Index 11: Results for P3ME_Rev_FFT
512 	1.70623e+06 	13825.7 	1.64944e+06 	1.80125e+06 	-50208.1 	74383 	51200
1024 	1.06868e+06 	10650.1 	1.02665e+06 	1.13308e+06 	-39609.6 	56328.6 	102400
2048 	726155 	15041.9 	670046 	807057 	-52965 	75639.9 	204800
4096 	620536 	15674.9 	577454 	714976 	-43025.9 	90493.4 	409600
8192 	425863 	14971.5 	391522 	532689 	-33540.5 	100904 	819200


# Index 12: Results for RealSpaceAddForces
512 	219510 	22446.3 	165417 	346337 	-78985.2 	88497.9 	51200
1024 	297014 	39347.9 	219412 	508548 	-113265 	171067 	102400
2048 	203929 	17144.4 	157240 	273149 	-46337.9 	67670.3 	204800
4096 	192663 	27277.7 	131752 	284485 	-60956.7 	91341.7 	409600
8192 	115957 	8347.32 	90730 	137411 	-25236.8 	21664.5 	819200


# Index 13: Results for RealSpaceDualCore
512 	5.12276e+06 	4.44185e+06 	2.26287e+06 	3.02067e+07 	-6.88119e+06 	7.99848e+06 	51200
1024 	2.39774e+06 	2.98654e+06 	500273 	1.9797e+07 	-5.1283e+06 	5.9149e+06 	102400
2048 	1.12238e+06 	1.7352e+06 	2185 	1.36386e+07 	-2.97543e+06 	5.84359e+06 	204800
4096 	311733 	1.09496e+06 	2050 	9.6922e+06 	-2.75722e+06 	5.16471e+06 	409600
8192 	179059 	653462 	1983 	4.69509e+06 	-1.48604e+06 	2.0234e+06 	819200
16384	0	0	0	0		0		0		0


# Index 14: Results for ReduceForces_Cntl
512 	3.03321e+06 	1.53117e+06 	630752 	1.54181e+07 	-7.80806e+06 	6.95427e+06 	51200
1024 	2.71861e+06 	1.23369e+06 	1.05742e+06 	1.23186e+07 	-5.94479e+06 	5.22418e+06 	102400
2048 	1.89456e+06 	1.22196e+06 	744346 	9.67157e+06 	-5.89685e+06 	3.07778e+06 	204800
4096 	2.29841e+06 	1.11259e+06 	1.33346e+06 	9.27241e+06 	-5.21596e+06 	2.73865e+06 	409600
8192 	947100 	428357 	515374 	4.04475e+06 	-2.00818e+06 	1.49999e+06 	819200
16384	476000	0	0	0		0		0		0


# Index 15: Results for Sync
512 	6.69982e+15 	NaNQ 	0 	3.46496e+18 	-6.76749e+15 	3.45819e+18 	51200
1024 	0 	0 	0 	0 	0 	0 	102400
2048 	1.68339e+15 	NaNQ 	0 	3.48241e+18 	-1.70039e+15 	3.48071e+18 	204800
4096 	2.54243e+15 	NaNQ 	0 	3.50633e+18 	-2.56812e+15 	3.50377e+18 	409600
8192 	2.57754e+15 	NaNQ 	0 	3.55475e+18 	-2.60357e+15 	3.55214e+18 	819200


# Index 16: Results for ThrobberBcast
512 	501920 	53781.5 	364233 	659444 	-144306 	147360 	51200
1024 	1.03645e+06 	63917.1 	851622 	1.29587e+06 	-186624 	244507 	102400
2048 	699950 	55453.5 	520639 	895891 	-178603 	195243 	204800
4096 	750071 	73133.5 	481575 	1.05291e+06 	-268647 	300413 	409600
8192 	342482 	20288.6 	288040 	422374 	-54354.8 	80286.7 	819200


# Index 17: Results for ThrobberReduce
512 	577884 	31410.3 	463735 	696873 	-114995 	86827.7 	51200
1024 	960408 	53210.1 	777011 	1.14808e+06 	-187808 	158801 	102400
2048 	673840 	45934.2 	510621 	844593 	-163207 	139734 	204800
4096 	1.37441e+06 	106396 	671198 	1.69403e+06 	-700873 	320853 	409600
8192 	454348 	15813.5 	345102 	524104 	-108539 	70054.7 	819200


# Index 18: Results for ThrobberVoxGen
512 	-1.16746e+09 	NaNQ 	-2.49814e+11 	1.21946e+06 	-2.4203e+11 	7.78372e+09 	51200
1024 	-4.81152e+08 	NaNQ 	-2.05863e+11 	1.75282e+06 	-2.02655e+11 	3.20867e+09 	102400
2048 	2.55059e+14 	NaNQ 	-1.70487e+11 	3.48241e+18 	-1.70056e+15 	3.48071e+18 	204800
4096 	-9.62974e+07 	NaNQ 	-1.64736e+11 	1.07754e+06 	-1.64094e+11 	6.42612e+08 	409600
8192 	-3.82563e+07 	NaNQ 	-1.30817e+11 	441770 	-1.30562e+11 	2.55254e+08 	819200


# Index 19: Results for UDF_KineticEnergy
512 	30114.9 	4997.1 	18198 	45061 	-11946.3 	14670.1 	51200
1024 	16288 	2981.79 	7547 	27142 	-8777.47 	10789 	102400
2048 	9268.87 	1876.44 	3884 	16455 	-5442.83 	7097.32 	204800
4096 	5786.48 	1510.83 	871 	13307 	-5052.12 	7528.21 	409600
8192 	3875.4 	1239.79 	860 	8468 	-3065.59 	4541.41 	819200


# Index 20: Results for UDF_UpdatePosition
512 	6058.05 	718.728 	4328 	8336 	-1760.99 	2254.36 	51200
1024 	3654.06 	449.375 	2163 	5560 	-1467.62 	1892.28 	102400
2048 	2539.9 	326.671 	1488 	3911 	-1036.11 	1383.69 	204800
4096 	1827.24 	250.753 	951 	3073 	-912.985 	1239.33 	409600
8192 	1517.22 	219.54 	939 	2444 	-603.069 	918.36 	819200


# Index 21: Results for UDF_UpdateVelocity
512 	43046.8 	7361.37 	26013 	66896 	-17322.2 	22337.9 	51200
1024 	22911.9 	4263.3 	10583 	40033 	-12282 	15967 	102400
2048 	12587.6 	2618.16 	4850 	23459 	-7993.4 	10317.4 	204800
4096 	7429.52 	2115.98 	1496 	18085 	-6121.69 	10662 	409600
8192 	4789.45 	1561.07 	1424 	11085 	-3447.06 	6219.22 	819200


# Index 22: Results for UDF_WaterTIP3PRattle
512 	229873 	117223 	70613 	554258 	-159419 	324435 	51200
1024 	120910 	63010.3 	29973 	323266 	-90758.6 	202642 	102400
2048 	65239.8 	35272.7 	13659 	200121 	-52043 	134989 	204800
4096 	36551 	22646.3 	3430 	167720 	-33448.3 	131208 	409600
8192 	21661.1 	15379.5 	3453 	110460 	-18315.8 	88708.7 	819200


# Index 23: Results for UDF_WaterTIP3PShake
512 	166225 	43741.7 	70267 	275422 	-95828.5 	107756 	51200
1024 	89770 	23584.8 	22440 	163721 	-67537.6 	73860 	102400
2048 	50243.1 	14321.5 	9464 	97410 	-40912.1 	46367.2 	204800
4096 	29495 	10851.9 	3196 	78691 	-26680.8 	48782.3 	409600
8192 	18627 	7766.96 	3207 	51816 	-15651 	32973.8 	819200


# Index 24: Results for mFragmentMigration
512 	6.11052e+14 	NaNQ 	-2.49829e+11 	3.47622e+18 	-6.78972e+15 	3.46943e+18 	51200
1024 	2.20086e+15 	NaNQ 	-2.0579e+11 	6.93442e+18 	-1.69299e+16 	6.92426e+18 	102400
2048 	4.3063e+14 	NaNQ 	-1.70493e+11 	3.52773e+18 	-3.44521e+15 	3.526e+18 	204800
4096 	3.21978e+14 	NaNQ 	-1.64447e+11 	4.39608e+18 	-2.14669e+15 	4.39393e+18 	409600
8192 	2.93018e+14 	NaNQ 	-1.3067e+11 	5.33423e+18 	-1.95358e+15 	5.33228e+18 	819200
